Gene,P-Value,Corrected P-Value
MRPL32,3.688441687493045e-08,5.972988989793994e-07
ZNF767P,5.3162679213037334e-08,7.798622055525396e-07
CHUK,3.5644373869476067e-12,1.0512859438966546e-09
NMD3,6.285257465144505e-09,1.524384443879714e-07
NUP93,3.063142650226316e-10,1.7973730583102155e-08
PRIMPOL,2.4943987758314573e-07,2.566440226022175e-06
ZNF573,9.25623185967732e-07,7.164717341597041e-06
ADTRP,2.29475853249089e-06,1.5197205475488819e-05
XRCC6,1.986444734764541e-08,3.6556128634673866e-07
HECTD3,9.449273354323102e-06,4.929702169650207e-05
TRIM52,3.6681900039778035e-07,3.475227925643554e-06
CHD1,3.121771722819844e-07,3.0393413544028346e-06
SART1,4.825568293483636e-07,4.333451920435502e-06
GALNT4,6.766803313413395e-09,1.6160370101224023e-07
GABPA,1.5580114268252098e-07,1.7404438804882641e-06
CRYGS,1.5279522248463625e-06,1.084975314376916e-05
SCAMP2,5.064240842553878e-06,2.9321551488399482e-05
CLEC16A,6.5027766778933375e-06,3.606265480819507e-05
PRPF39,3.717553317508147e-07,3.5098076909415152e-06
CLSTN1,3.0973416876397267e-07,3.0197674550426715e-06
COG3,2.406240041666131e-06,1.5829839550780083e-05
FANCL,1.1807400307112446e-07,1.4099121110702978e-06
BRD9,6.044523613460104e-07,5.1298546436472455e-06
METTL16,3.679054847358066e-09,1.0217100408159271e-07
CYB561A3,1.8475471682195263e-08,3.4649201108438726e-07
DET1,1.0616795308643052e-05,5.4579229391677e-05
IGLV1-44,1.3876544232039838e-06,9.990013439873533e-06
SEC24C,6.559150101754095e-07,5.472978915179219e-06
TMEM131L,3.0436613889915104e-08,5.143696483786386e-07
TOGARAM1,8.710930708938091e-07,6.824917283370448e-06
ZNF608,6.509682177998223e-07,5.444189370932767e-06
TECR,1.1565946110440946e-07,1.3886769620390813e-06
CTCF,7.375906032640571e-10,3.368227549800803e-08
ZNF322,1.4155601696642823e-06,1.0130769633912115e-05
RPAP1,2.26539063403625e-09,6.984314514088032e-08
ATG13,4.975533503015988e-07,4.42567014278048e-06
GEMIN6,1.02880692637524e-06,7.830124682328709e-06
UBXN8,1.897631882319389e-05,8.946330178675513e-05
MBLAC2,3.6408818169196836e-06,2.2386807971752917e-05
CNIH4,1.193791455026114e-08,2.491212225651053e-07
NUP188,6.523563015415496e-07,5.451620731259167e-06
SEC31B,1.6867472279940029e-06,1.1763041051965847e-05
SASS6,3.8841491356373966e-07,3.6356435391377827e-06
ADAM9,1.869031096015588e-05,8.822926203250055e-05
AMER1,1.2281191905326345e-05,6.193943089405347e-05
DNA2,2.8651369532355504e-07,2.8609427911814085e-06
GPI,3.661091214327892e-10,2.0490845904192112e-08
UBR4,1.716002560268518e-07,1.8822564766603624e-06
PRRC1,9.849297742674257e-08,1.2229264569231723e-06
JAM3,6.624609886115221e-08,9.124287024760279e-07
SLC35B3,2.7719890621054656e-08,4.756837833933813e-07
TRPV2,3.735175641845117e-06,2.278686805762862e-05
FAM135A,1.1702328477214781e-07,1.40196721185864e-06
YEATS2,4.3038547607330644e-06,2.5616041453102412e-05
ZC3H7B,1.149611105912305e-06,8.587956750348173e-06
RBM10,1.2391015051313307e-05,6.246445185682837e-05
SRP19,2.069281959476551e-06,1.3947288758602072e-05
DHX16,8.775150290135209e-06,4.624432171247497e-05
B2M,2.143031312950027e-06,1.431398026287429e-05
NHS,5.5169353920829177e-08,7.954006984041342e-07
TTC32,3.852981286042348e-12,1.0512859438966546e-09
EIF4A3,1.0965030097695676e-09,4.352952592067423e-08
HIKESHI,3.074355842583857e-06,1.9440046156408004e-05
FBXO31,4.13125519279094e-06,2.4742089616704114e-05
NUBP1,9.208725291730258e-07,7.138070158660798e-06
FBXO4,1.9902699492261917e-05,9.28679188792418e-05
WASHC3,1.396785319001231e-05,6.926176724933863e-05
CTSW,6.40542555491318e-06,3.561325242298647e-05
CUTA,4.6339653577062845e-06,2.734286579337273e-05
RRP8,1.0761979692024507e-05,5.5273527698237874e-05
NCKAP1L,1.3674890581994257e-08,2.7587385547483423e-07
APOOL,9.786345570612544e-09,2.136163511153306e-07
TPST1,4.912487154916835e-08,7.37997611220405e-07
MITD1,5.893961007653061e-06,3.310689163022414e-05
ANKZF1,5.5269001235547576e-06,3.149900153967448e-05
SLC25A45,1.359747782015039e-06,9.828004829743137e-06
PSMC5,2.674065951190945e-09,7.973976992157915e-08
PEA15,9.414281319047933e-06,4.9137956153079456e-05
ABITRAM,2.215197941360434e-07,2.3449728741035668e-06
ZNF85,2.442059005718559e-10,1.5317604591041586e-08
RABL2A,1.0378594812056375e-06,7.882531926150542e-06
TUBA1C,1.0988332620065277e-07,1.3266223696392967e-06
PACRGL,3.797345764200905e-06,2.3127361423263768e-05
CASP8AP2,7.679522621736263e-06,4.153335475402853e-05
DUSP11,1.859148680512726e-05,8.787678085368511e-05
INTS8,1.2146603430230909e-05,6.13173125983072e-05
RFK,1.1989557804403892e-07,1.4269796496975363e-06
RNH1,1.7853503654374124e-05,8.486634968808327e-05
TSC2,4.799598894446151e-06,2.8087304200528307e-05
HHAT,2.1634417747011686e-05,9.979629555827792e-05
SMARCAL1,5.813344158129746e-10,2.8324481313316095e-08
CXXC1,1.3329700557946458e-07,1.5509632397593564e-06
HYOU1,2.7163558009430597e-09,8.056061742253412e-08
RNASEH2A,1.1199941882479052e-05,5.719989036283405e-05
RPS24,8.1786574661553e-08,1.0551048177969143e-06
RPL36A,8.946535795326333e-07,6.98944106443748e-06
THAP4,4.952119883592241e-07,4.4140392238040105e-06
SNORA12,6.478552653582829e-08,8.986031926942459e-07
DLEU2,9.504102296152191e-08,1.1895386750023512e-06
C22orf34,2.460721618509183e-06,1.6159034743928535e-05
ARGLU1,2.1773966367965266e-08,3.940979584410828e-07
PSMA6,1.682442216414579e-07,1.8545642866697945e-06
VAT1,2.2760362893841508e-06,1.5091531022076927e-05
HAUS7,6.157319683972994e-07,5.201314785671924e-06
RPL26,1.370349573444057e-08,2.7594087167100436e-07
UQCR11,8.415600682874603e-07,6.655642453108219e-06
TMA7,5.524612592982205e-06,3.149900153967448e-05
LOC647979,1.4572126567546901e-05,7.180143989083833e-05
SLC5A3,1.7293264511618312e-06,1.2021572540114793e-05
RPL23,2.073699436999889e-08,3.791014347641003e-07
IGSF8,1.3963681926870225e-05,6.926176724933863e-05
COPS6,3.08494733430492e-07,3.0197674550426715e-06
ITGAV,4.085507846688293e-09,1.109184891511344e-07
SAMM50,2.8275778463244974e-09,8.280407160648604e-08
ECHS1,2.7714036512828796e-07,2.782621844535543e-06
RNF5,1.9595744345684197e-06,1.3334278234640464e-05
LOC400657,1.4780231269830275e-08,2.9223087695457904e-07
RPL39,6.873426987713281e-08,9.406731538608813e-07
NDFIP2,7.304739435864205e-07,5.953990007693945e-06
DCUN1D5,2.0933380396662422e-07,2.2354883918705842e-06
ST13,1.5058422443773266e-05,7.376464207869903e-05
DHX8,4.258960827926292e-09,1.1420712156262297e-07
VAMP7,9.599437488564477e-08,1.1973515514307737e-06
ABL1,4.844053131696036e-06,2.8301924988934977e-05
RESF1,1.030541178500617e-11,1.704140366993293e-09
LRP11,1.6776080331369124e-05,8.069375968997912e-05
TERF2IP,2.2310842102115708e-08,4.023291317542208e-07
PATZ1,6.963825227367046e-07,5.714525453495033e-06
ANKRD46,2.667601878237266e-06,1.736088664226686e-05
ZNF674,3.2144467822539356e-06,2.02204450613945e-05
OAT,1.2297502299739145e-06,9.04413342987554e-06
TGFBR1,4.441960024135181e-10,2.376448612912322e-08
TTC31,5.444125005633638e-07,4.7269037638413305e-06
IER2,6.118622276129244e-07,5.176639032687951e-06
DPY19L4,3.075168385298984e-09,8.892214655817234e-08
ANKRD49,5.507060361630303e-09,1.372238739425414e-07
CEP44,3.85746205600636e-06,2.3402079421486054e-05
SOCS6,2.0541538320979216e-05,9.552209170650496e-05
TPT1,7.581305893403985e-07,6.129064631156377e-06
NRM,1.3979144539805117e-05,6.92862777054646e-05
YARS,1.4487337845451572e-10,1.0957616215282135e-08
GORASP1,1.0989705649234556e-06,8.266136971450444e-06
EEF2KMT,4.044051289201887e-06,2.43170370819908e-05
CAPNS1,4.584748854558944e-07,4.166357118955563e-06
PSMD2,7.364118254657633e-10,3.368227549800803e-08
OGFOD1,1.0336282950946317e-07,1.264688252540674e-06
CENPQ,1.3470858048764537e-08,2.7346443524461365e-07
DENND6A,1.2691813340672114e-07,1.4950276769816552e-06
C1GALT1,1.2415946884649435e-08,2.5664326571792415e-07
RNF43,2.458017734793444e-07,2.5404171929484515e-06
ZNF48,7.3952075714016634e-06,4.017486084334383e-05
ABCC2,4.45850225758652e-07,4.071974363121279e-06
ZBTB46,2.8423461634848067e-06,1.829089978082145e-05
ZNF703,5.1126371560125645e-06,2.9570387875315914e-05
NOP9,2.362774398034142e-10,1.513313363871948e-08
LOC285033,1.5610896162605947e-05,7.607361116408757e-05
TNFAIP8L1,4.182078516439766e-09,1.1269434128510712e-07
CARNMT1,2.327727197481874e-06,1.5378217090385698e-05
BMP8B,1.2911524144154845e-06,9.419543750622057e-06
HIST1H2AK,7.946104690531311e-07,6.3673852123684826e-06
MPIG6B,1.9000274591495606e-05,8.953756342469044e-05
POLR3A,1.8780496333698237e-08,3.4918285687560913e-07
MCM4,5.50546375428182e-07,4.7612227745033104e-06
TIMM8B,2.037269119396229e-06,1.3776180402162606e-05
SRCAP,5.821177089629213e-06,3.281471779605239e-05
HLA-DRB1,1.5856558790471563e-07,1.7677066663861762e-06
IGKC,5.953184861844069e-07,5.064151175539062e-06
IGHM,4.0325914446310065e-06,2.426223981626395e-05
LOC100131541,6.790503485851959e-08,9.322208181709218e-07
ZNF273,2.1558114123123724e-05,9.948636682442805e-05
IGHA1,2.9136782043969313e-10,1.7376985750157434e-08
IL23A,1.1055802143645118e-05,5.659616538261858e-05
DSERG1,3.93279067084515e-06,2.376659877165225e-05
ROCK1P1,2.7712415587378276e-08,4.756837833933813e-07
LOC162632,5.300504578926412e-07,4.626523561029798e-06
LOC100133299,9.821456470347751e-09,2.1395484215044983e-07
CCN6,1.3428372215530956e-05,6.701291923196381e-05
LOC100288418,2.189203412190853e-06,1.4577770616626581e-05
IGLV8-61,1.3541053015580627e-07,1.568864677410265e-06
TRAJ17,6.277114210836055e-07,5.290225829889166e-06
IKZF5,5.984839729021362e-08,8.493958491877652e-07
LOC100128751,8.891564460736961e-06,4.6812607102982725e-05
PS1TP4,1.3887071510853813e-06,9.991001876694693e-06
NFATC2,2.1791689409113573e-09,6.873829428065478e-08
LOC286052,1.0380988516197267e-07,1.26873581932561e-06
CDK8,1.934035521310939e-05,9.074833912118481e-05
PLCB3,5.346887689335578e-08,7.822511024317493e-07
SCARNA10,1.3419835734957774e-07,1.5581285873545655e-06
HSP90AB1,8.027417512937746e-10,3.5759687647429613e-08
CBWD1,1.999304944547296e-07,2.147678559526495e-06
CBWD3,7.716197430116507e-07,6.215098062899746e-06
TOMM7,3.401891163493567e-06,2.1179828955144777e-05
AMY1A,7.506605435153503e-07,6.082189437213462e-06
AMY1B,7.506605435153503e-07,6.082189437213462e-06
AMY1C,7.506605435153503e-07,6.082189437213462e-06
AMY2A,1.0454995556485013e-07,1.2749253799271222e-06
VDAC1,1.0740575143464317e-09,4.352952592067423e-08
VDAC1P1,1.0740575143464317e-09,4.352952592067423e-08
TMEM189-UBE2V1,1.1419891106405047e-10,9.005051682757271e-09
LUZP6,2.0759685315065658e-05,9.633129486761335e-05
MTPN,2.0759685315065658e-05,9.633129486761335e-05
NOMO1,1.4180367425052792e-12,6.01739115454343e-10
NOMO3,1.4180367425052792e-12,6.01739115454343e-10
DPH1,1.0837694290850541e-05,5.558422016506927e-05
OVCA2,1.0837694290850541e-05,5.558422016506927e-05
ATP8B5P,2.1265444929597285e-07,2.26332931241314e-06
TOP1P1,2.9425692887597825e-07,2.9169120088577898e-06
POM121C,7.5137880490984465e-06,4.071771736239347e-05
LOC340947,8.699702465974388e-07,6.82101671793423e-06
MYO18A,2.792739299467489e-06,1.8035477345791816e-05
TIAF1,2.792739299467489e-06,1.8035477345791816e-05
DNAJC25-GNG10,8.548050981098722e-09,1.9117505821252347e-07
GNG10,8.548050981098722e-09,1.9117505821252347e-07
NDUFA13,1.4374802548625431e-06,1.0267447317781281e-05
YJEFN3,1.4374802548625431e-06,1.0267447317781281e-05
ANKHD1-EIF4EBP3,5.657150196327911e-12,1.3020065038355797e-09
EIF4EBP3,1.0462161672901604e-06,7.92944670125334e-06
LOC100129321,1.0629874353568038e-07,1.2919203640850953e-06
LOC100130751,1.0629874353568038e-07,1.2919203640850953e-06
LOC100131851,1.0629874353568038e-07,1.2919203640850953e-06
LOC647121,6.092828812800206e-06,3.404933539933555e-05
WASHC2C,6.5702577958910066e-06,3.638142749079373e-05
RNF138P1,9.551011543252487e-08,1.1940405496341083e-06
PALM2-AKAP2,8.542377820081809e-07,6.731517077860856e-06
HSP90AB3P,8.768458355707093e-10,3.782567371311748e-08
DDX19B,1.0993670644878728e-09,4.352952592067423e-08
FAM71D,2.0626347114555802e-07,2.207019141257471e-06
POLR2M,5.824348827848607e-06,3.281471779605239e-05
LOC399491,1.4608935489325092e-07,1.6658928338669053e-06
SHLD2,5.59934525194763e-06,3.17296230943699e-05
SHLD2P1,5.59934525194763e-06,3.17296230943699e-05
SHLD2P3,5.59934525194763e-06,3.17296230943699e-05
FLJ42953,8.131647718060792e-06,4.341917964526198e-05
LOC100287161,8.131647718060792e-06,4.341917964526198e-05
LOC646358,6.850374559827529e-06,3.766498133297615e-05
LAT,6.911260451423722e-06,3.7942402699616956e-05
SPNS1,6.911260451423722e-06,3.7942402699616956e-05
ZNF20,1.3942309893610616e-05,6.921834757037518e-05
ZNF625,1.3942309893610616e-05,6.921834757037518e-05
FAM21D,2.1946517349579015e-06,1.4605139655689352e-05
LRRC70,5.336262960464486e-06,3.063649339847943e-05
EDARADD,2.491713610938804e-07,2.566440226022175e-06
LOC100294376,2.118264495125971e-06,1.4197787025415394e-05
STAG3,1.2877136921122767e-07,1.5095711316555733e-06
LOC389901,8.117904720303876e-06,4.3409027655742324e-05
LOC653501,3.090214526444041e-07,3.0197674550426715e-06
ZNF658,3.090214526444041e-07,3.0197674550426715e-06
ZNF658B,3.090214526444041e-07,3.0197674550426715e-06
TVP23B,2.7396874400450585e-08,4.738660653035145e-07
CCT8P1,3.715634659034874e-06,2.2731186473490257e-05
GMCL2,2.867216796833199e-06,1.8375560132766883e-05
LOC100291980,1.2290961944977828e-06,9.04413342987554e-06
ZNF443,8.629586211372058e-07,6.775777259778032e-06
ZNF799,8.629586211372058e-07,6.775777259778032e-06
SIGLEC10,1.6359903154753476e-05,7.911031591979593e-05
SIGLEC12,1.6359903154753476e-05,7.911031591979593e-05
LOC100287515,5.360498713029453e-06,3.071101467401756e-05
ZNF26,5.360498713029453e-06,3.071101467401756e-05
LOC727896,9.755355564938375e-08,1.2126418067851643e-06
WBP11P1,3.630139923085346e-11,4.306450773973203e-09
LOC100133770,2.291537209549856e-07,2.4046050590878628e-06
ST13P5,1.8630351200888886e-05,8.798427217936015e-05
LOC100131128,8.125128524332009e-07,6.477549504350588e-06
LOC100294337,1.836473231698783e-07,2.006333218294346e-06
DLEU2L,2.1282442166697083e-10,1.4163205719959266e-08
IGH,8.684065504078453e-07,6.8136513955077095e-06
IGHG1,4.9192741104708054e-06,2.863411074222846e-05
IGHG2,3.597771060422617e-06,2.2184222233588953e-05
IGHG3,4.892566024049321e-06,2.852428717226191e-05
IGHV4-31,4.9192741104708054e-06,2.863411074222846e-05
LOC100290146,4.9192741104708054e-06,2.863411074222846e-05
LOC100294459,2.4207520659973426e-06,1.5915715691743973e-05
LOC100292653,1.1330980300383303e-05,5.7787999531954845e-05
LOC643446,1.3480288268426073e-08,2.7346443524461365e-07
MSTO2P,6.31879339496147e-09,1.5291199803239354e-07
MRPS28,6.107199629249164e-06,3.4079326031199695e-05
LOC644456,1.6616736848711073e-05,8.014917578575324e-05
LOC652797,3.054519487667949e-06,1.9325811993279996e-05
EMX1,9.827040769047566e-06,5.087871107845595e-05
LOC647302,1.7357720906498985e-09,6.108807258985442e-08
LOC100287723,1.5980275450754862e-06,1.1264769129889471e-05
LOC642424,1.5980275450754862e-06,1.1264769129889471e-05
LOC100286937,9.451381795737564e-07,7.274497949131154e-06
LOC100287164,9.451381795737564e-07,7.274497949131154e-06
RASA4,9.451381795737564e-07,7.274497949131154e-06
CBWD2,3.835901729140474e-06,2.3284222175661365e-05
CBWD6,3.94768870229807e-06,2.3830240319071426e-05
LOC643332,1.797307715105506e-05,8.53232553399804e-05
LOC644006,1.0300284983233086e-08,2.221685974446757e-07
RNF4,1.0300284983233086e-08,2.221685974446757e-07
SNORA8,4.421594026635157e-09,1.171293136084857e-07
SNORA25,7.638290625305755e-07,6.167717256692533e-06
SNORA32,2.5950063101751905e-07,2.644435001797575e-06
LOC100130932,3.1760078002456595e-06,2.0024811745742998e-05
CCZ1,2.931401776097616e-06,1.863326673519475e-05
CCZ1B,2.931401776097616e-06,1.863326673519475e-05
LOC100133775,2.931401776097616e-06,1.863326673519475e-05
TRAC,8.088486041232752e-08,1.048429176413471e-06
TRAV20,8.088486041232752e-08,1.048429176413471e-06
IGHA2,2.8424011600799246e-10,1.7135248051111494e-08
LOC100126583,2.8424011600799246e-10,1.7135248051111494e-08
IGK,5.084727891246399e-07,4.482610678922714e-06
LOC652694,6.9897916057368165e-06,3.8315713503270526e-05
SNORA24,1.7311758587466657e-05,8.275976050092471e-05
