Gene,P-Value,Corrected P-Value
MED31,1.0171037771523468e-05,5.248544030184734e-05
PRG4,1.8498215408316484e-05,8.754966303832007e-05
GTF2F1,4.561410436788157e-06,2.696816549680712e-05
ERO1B,1.4101082232786382e-06,1.0118291353624627e-05
SARNP,8.210551778382144e-07,6.526581362655697e-06
CTC1,2.1363945568469227e-09,6.814288426334528e-08
METTL4,5.82991916864079e-06,3.281471779605239e-05
CNOT2,1.362493840689629e-10,1.039878166243819e-08
SLAMF6,1.1697571903003453e-07,1.40196721185864e-06
PCNX4,1.2712643690078228e-06,9.286867016968795e-06
TRIM65,1.812250670931471e-06,1.2451257337990847e-05
SIPA1L3,2.0284242848692143e-09,6.569205532659526e-08
SPN,6.038478607407138e-08,8.541460489435312e-07
C1orf52,5.855092458448508e-10,2.8401101818447564e-08
HDLBP,2.6171324991433435e-06,1.707315247797397e-05
VAMP4,3.0276957234948435e-07,2.979645728243708e-06
SORCS3,2.059478592865498e-06,1.3900525270583825e-05
SOCS2,1.4147926573181023e-06,1.0130769633912115e-05
C4orf33,5.662639816395136e-10,2.798444792126445e-08
TTC7A,9.816126663168429e-07,7.518119747496157e-06
NR3C1,2.1892931191455934e-09,6.885863141889052e-08
CLEC4D,1.212775313766834e-10,9.348086510314578e-09
IL18R1,2.7834162957561755e-08,4.7615586372833507e-07
ZNF441,3.0579769621708274e-07,3.0040288537472918e-06
RUNDC3B,4.6428744520102696e-06,2.737565195528908e-05
NDRG3,1.1919220084465129e-07,1.4201568559154195e-06
CEP162,3.216157818427836e-09,9.159047339086302e-08
KIAA0754,5.187974416814617e-06,2.994265086468256e-05
ZNF781,1.327322394718691e-07,1.547995250261813e-06
PHTF2,8.028782569380535e-08,1.0446465234588301e-06
NOMO2,2.08282675773249e-10,1.3945994622019877e-08
ZNF296,1.4871968978428745e-07,1.6802553771280676e-06
PRXL2B,8.142910885754446e-10,3.612671927118863e-08
DDX41,7.482140619064509e-08,9.970706070387064e-07
SAMSN1,1.980015161978619e-14,3.161301142049527e-11
ZNF226,4.5670182624633025e-06,2.6986701308351102e-05
RASA3,2.117045205114101e-08,3.8444977318827446e-07
ZNF317,1.6191268080158945e-06,1.1378718597994508e-05
ANAPC10,1.6213142645068302e-05,7.857470640687186e-05
HHLA3,8.527800201371e-06,4.5071385664776315e-05
NSD2,1.6339452115670115e-05,7.911031591979593e-05
NDRG2,9.861710663596727e-06,5.103400198316486e-05
LARS,3.108089597960744e-10,1.8139941108098163e-08
ZNF791,3.958864336129388e-06,2.387129578150063e-05
MAPK1IP1L,1.0372723108827772e-06,7.882531926150542e-06
ARCN1,1.6106151473670452e-07,1.7882252002404814e-06
NOP2,6.255531371180126e-09,1.5205538838543406e-07
FKBP4,5.048848403475144e-09,1.296544270012417e-07
KCTD3,2.2013055189151948e-10,1.4472920743036407e-08
NEK9,1.4790481577939526e-05,7.268046643027104e-05
CTNNBL1,1.778261903236578e-10,1.2440993853797443e-08
GCA,1.4334339453437473e-05,7.078958407005276e-05
RBM42,5.415653325740556e-09,1.3589825533367957e-07
SPECC1L,1.535417946600315e-07,1.724027928929613e-06
BLZF1,9.447409169001926e-08,1.187891977770588e-06
PHF19,1.1501591262359831e-06,8.587956750348173e-06
ENPP4,1.1891334024389145e-07,1.4183827272369742e-06
LYRM2,2.5774527275779974e-08,4.5225593358177274e-07
EIF4E,2.297159075937411e-06,1.5203877595379568e-05
TRNT1,5.047726490382732e-07,4.461737798808228e-06
DDX51,2.829330521559092e-08,4.817365571341019e-07
METTL2B,1.1934402473578952e-06,8.840265431521748e-06
STAG3L1,2.2558833810313765e-07,2.3789066521329437e-06
DHDDS,3.3837426466079945e-07,3.250895003968279e-06
MAP3K8,1.4122712343394303e-06,1.0127153910368293e-05
